environment,environment_name,algorithm,algorithm_display,center,lower,upper,n_runs,final_x,final_x_unit,x_axis,center_stat,band,normalized_by_expert
hopper,Hopper,SAMfO/DACfO,SAMfO/DACfO,0.3788312769043114,-0.2823112336717368,1.0399737874803596,3,10000000.0,steps,steps,mean,95ci,True
hopper,Hopper,OPOLO,OPOLO,0.5330526064248108,0.07135253987900014,0.9947526729706214,3,10000000.0,steps,steps,mean,95ci,True
hopper,Hopper,GAIfO,GAIfO,0.7851059354923485,0.646568361799027,0.9236435091856701,3,10000000.0,steps,steps,mean,95ci,True
hopper,Hopper,MAAD,MAAD,0.6307612193489619,0.3892644364048554,0.8722580022930684,3,10000000.0,steps,steps,mean,95ci,True
hopper,Hopper,ILD,ILD,0.8151021959262272,0.6716494373664533,0.9585549544860011,3,10000000.0,steps,steps,mean,95ci,True
hopper,Hopper,FOCUS-l2,FOCUS-l2,0.9519373367034749,0.9393281090657752,0.9645465643411746,6,10000000.0,steps,steps,mean,95ci,True
hopper,Hopper,FOCUS-OT-l2,FOCUS-OT-l2,0.9832865934426556,0.9657759998651833,1.000797187020128,6,10000000.0,steps,steps,mean,95ci,True
hopper,Hopper,FOCUS-OT-cos,FOCUS-OT-cos,0.9842788982648512,0.9806935672295197,0.9878642293001826,6,10000000.0,steps,steps,mean,95ci,True
hopper,Hopper,ZOCUS-SAC-l2,ZOCUS-SAC-l2,0.5509706842873535,0.2536892581433816,0.8482521104313254,5,10000000.0,steps,steps,mean,95ci,True
hopper,Hopper,ZOCUS-SAC-OT-l2,ZOCUS-SAC-OT-l2,0.3999457670822162,0.07277684035369852,0.7271146938107338,6,10000000.0,steps,steps,mean,95ci,True
hopper,Hopper,ZOCUS-SAC-OT-cos,ZOCUS-SAC-OT-cos,0.8437213216866889,0.8159734053109455,0.8714692380624323,6,10000000.0,steps,steps,mean,95ci,True
hopper,Hopper,ZOCUS-PPO-l2,ZOCUS-PPO-l2,0.6697776401182107,0.546389743599579,0.7931655366368424,6,10000000.0,steps,steps,mean,95ci,True
hopper,Hopper,ZOCUS-PPO-OT-l2,ZOCUS-PPO-OT-l2,0.8510301972966058,0.7556204467573491,0.9464399478358625,5,10000000.0,steps,steps,mean,95ci,True
hopper,Hopper,ZOCUS-PPO-OT-cos,ZOCUS-PPO-OT-cos,0.6308087349029329,0.43312506769607073,0.828492402109795,6,10000000.0,steps,steps,mean,95ci,True
ant,Ant,SAMfO/DACfO,SAMfO/DACfO,0.10382460165724701,0.08853302907593005,0.11911617423856397,3,10000000.0,steps,steps,mean,95ci,True
ant,Ant,OPOLO,OPOLO,0.12307915676169894,0.08054499324680688,0.16561332027659098,3,10000000.0,steps,steps,mean,95ci,True
ant,Ant,GAIfO,GAIfO,0.10522949480271167,0.07833360717996798,0.13212538242545535,3,10000000.0,steps,steps,mean,95ci,True
ant,Ant,MAAD,MAAD,0.0894088373856054,0.02946687539091332,0.1493507993802975,3,10000000.0,steps,steps,mean,95ci,True
ant,Ant,ILD,ILD,0.08609338321218307,0.06851263623630575,0.10367413018806039,10,10000000.0,steps,steps,mean,95ci,True
ant,Ant,FOCUS-l2,FOCUS-l2,0.4538755685916523,0.2724094489232827,0.6353416882600218,6,10000000.0,steps,steps,mean,95ci,True
ant,Ant,FOCUS-ot-l2,FOCUS-OT-l2,0.818942234973437,0.6137227353618497,1.0241617345850242,6,10000000.0,steps,steps,mean,95ci,True
ant,Ant,FOCUS-ot-cos,FOCUS-OT-cos,0.8445020272867533,0.7344354542518896,0.954568600321617,6,10000000.0,steps,steps,mean,95ci,True
ant,Ant,ZOCUS-SAC-l2,ZOCUS-SAC-l2,0.3934270850219763,0.2920081247447228,0.4948460452992298,3,10000000.0,steps,steps,mean,95ci,True
ant,Ant,ZOCUS-SAC-OT-l2,ZOCUS-SAC-OT-l2,0.1908448546876753,0.10772946916685189,0.27396024020849874,3,10000000.0,steps,steps,mean,95ci,True
ant,Ant,ZOCUS-SAC-OT-cos,ZOCUS-SAC-OT-cos,0.20466515588124334,0.17521557097013615,0.23411474079235053,5,10000000.0,steps,steps,mean,95ci,True
ant,Ant,ZOCUS-PPO-l2,ZOCUS-PPO-l2,0.1929600309188985,0.026054902730061252,0.35986515910773575,4,10000000.0,steps,steps,mean,95ci,True
ant,Ant,ZOCUS-PPO-OT-l2,ZOCUS-PPO-OT-l2,0.1291873448376605,0.06914717533954566,0.18922751433577534,3,10000000.0,steps,steps,mean,95ci,True
ant,Ant,ZOCUS-PPO-OT-cos,ZOCUS-PPO-OT-cos,0.10184077642112103,0.0705993107922854,0.13308224204995667,5,10000000.0,steps,steps,mean,95ci,True
humanoid,Humanoid,SAMfO/DACfO,SAMfO/DACfO,0.5621197965984462,0.410942815116623,0.7132967780802695,3,15000000.0,steps,steps,mean,95ci,True
humanoid,Humanoid,OPOLO,OPOLO,0.47672599488029754,0.4229833076957237,0.5304686820648714,3,15000000.0,steps,steps,mean,95ci,True
humanoid,Humanoid,GAIfO,GAIfO,0.123749095394814,0.02770116574309707,0.21979702504653092,3,15000000.0,steps,steps,mean,95ci,True
humanoid,Humanoid,MAAD,MAAD,0.2473628546747059,0.20739617854717268,0.2873295308022391,3,15000000.0,steps,steps,mean,95ci,True
humanoid,Humanoid,ILD,ILD,0.3552576969209139,0.08414464402696425,0.6263707498148636,10,15000000.0,steps,steps,mean,95ci,True
humanoid,Humanoid,FOCUS-l2,FOCUS-l2,0.5865889754858209,0.45808798597655853,0.7150899649950833,6,15000000.0,steps,steps,mean,95ci,True
humanoid,Humanoid,FOCUS-ot-l2,FOCUS-OT-l2,0.6625995232693126,0.412574070230175,0.9126249763084502,6,15000000.0,steps,steps,mean,95ci,True
humanoid,Humanoid,FOCUS-ot-cos,FOCUS-OT-cos,0.7429041960716742,0.5001438317477228,0.9856645603956257,6,15000000.0,steps,steps,mean,95ci,True
humanoid,Humanoid,ZOCUS-SAC-l2,ZOCUS-SAC-l2,0.21772272533427656,0.2017790900802733,0.2336663605882798,5,15000000.0,steps,steps,mean,95ci,True
humanoid,Humanoid,ZOCUS-SAC-OT-l2,ZOCUS-SAC-OT-l2,0.21434117847012996,0.19288967048586814,0.23579268645439178,4,15000000.0,steps,steps,mean,95ci,True
humanoid,Humanoid,ZOCUS-SAC-OT-cos,ZOCUS-SAC-OT-cos,0.25493665749002586,0.21181772947689737,0.29805558550315436,4,15000000.0,steps,steps,mean,95ci,True
humanoid,Humanoid,ZOCUS-PPO-l2,ZOCUS-PPO-l2,0.08490219770821339,0.016364647152975836,0.15343974826345094,3,15000000.0,steps,steps,mean,95ci,True
humanoid,Humanoid,ZOCUS-PPO-OT-l2,ZOCUS-PPO-OT-l2,0.05382416611644908,0.007477780356168154,0.10017055187673,4,15000000.0,steps,steps,mean,95ci,True
humanoid,Humanoid,ZOCUS-PPO-OT-cos,ZOCUS-PPO-OT-cos,0.1332762517487304,0.10342163677127257,0.1631308667261882,5,15000000.0,steps,steps,mean,95ci,True
snu_humanoid,SNU Humanoid,SAMfO/DACfO,SAMfO/DACfO,0.055434437164365885,0.015948761704734978,0.0949201126239968,3,15000000.0,steps,steps,mean,95ci,True
snu_humanoid,SNU Humanoid,OPOLO,OPOLO,0.07455504864534288,0.06726988867853421,0.08184020861215154,3,15000000.0,steps,steps,mean,95ci,True
snu_humanoid,SNU Humanoid,GAIfO,GAIfO,0.010728319989581972,-0.010647954885317147,0.03210459486448109,3,15000000.0,steps,steps,mean,95ci,True
snu_humanoid,SNU Humanoid,MAAD,MAAD,0.040217485819173206,-0.025917289504245912,0.10635226114259233,3,15000000.0,steps,steps,mean,95ci,True
snu_humanoid,SNU Humanoid,ILD,ILD,0.22145864992641168,-0.059005097113869254,0.5019223969666926,4,15000000.0,steps,steps,mean,95ci,True
snu_humanoid,SNU Humanoid,FOCUS-l2,FOCUS-l2,0.5674035862814021,0.410751759087528,0.7240554134752761,6,15000000.0,steps,steps,mean,95ci,True
snu_humanoid,SNU Humanoid,FOCUS-ot-l2,FOCUS-OT-l2,0.9108622590061825,0.8993001331201136,0.9224243848922513,6,15000000.0,steps,steps,mean,95ci,True
snu_humanoid,SNU Humanoid,FOCUS-ot-cos,FOCUS-OT-cos,0.894147544257594,0.8748470502582775,0.9134480382569106,6,15000000.0,steps,steps,mean,95ci,True
snu_humanoid,SNU Humanoid,ZOCUS-SAC-l2,ZOCUS-SAC-l2,0.07327204583144072,0.03376769410212877,0.11277639756075267,3,15000000.0,steps,steps,mean,95ci,True
snu_humanoid,SNU Humanoid,ZOCUS-SAC-OT-l2,ZOCUS-SAC-OT-l2,0.11758412132835859,0.1002164085273151,0.1349518341294021,2,15000000.0,steps,steps,mean,95ci,True
snu_humanoid,SNU Humanoid,ZOCUS-SAC-OT-cos,ZOCUS-SAC-OT-cos,0.10193950785961992,0.0484581222063089,0.15542089351293092,5,15000000.0,steps,steps,mean,95ci,True
snu_humanoid,SNU Humanoid,ZOCUS-PPO-l2,ZOCUS-PPO-l2,0.04111055956265899,0.0022003703514005893,0.08002074877391738,3,15000000.0,steps,steps,mean,95ci,True
snu_humanoid,SNU Humanoid,ZOCUS-PPO-OT-l2,ZOCUS-PPO-OT-l2,0.02354943526485204,-0.005465164261647098,0.052564034791351175,3,15000000.0,steps,steps,mean,95ci,True
snu_humanoid,SNU Humanoid,ZOCUS-PPO-OT-cos,ZOCUS-PPO-OT-cos,0.054961099933651315,0.051615821275926885,0.058306378591375746,4,15000000.0,steps,steps,mean,95ci,True
