environment,environment_name,algorithm,algorithm_display,center,lower,upper,n_runs,final_x,final_x_unit,x_axis,center_stat,band,normalized_by_expert
hopper,Hopper,SAMfO/DACfO,SAMfO/DACfO,0.3788312769043114,-0.09820785835999724,0.85587041216862,3,10000000.0,steps,steps,mean,std,True
hopper,Hopper,OPOLO,OPOLO,0.5330526064248108,0.19991867996682822,0.8661865328827933,3,10000000.0,steps,steps,mean,std,True
hopper,Hopper,GAIfO,GAIfO,0.7851059354923485,0.6851458765049212,0.8850659944797759,3,10000000.0,steps,steps,mean,std,True
hopper,Hopper,MAAD,MAAD,0.6307612193489619,0.45651222664027474,0.805010212057649,3,10000000.0,steps,steps,mean,std,True
hopper,Hopper,ILD,ILD,0.8151021959262272,0.7115956465818061,0.9186087452706484,3,10000000.0,steps,steps,mean,std,True
hopper,Hopper,FOCUS-l2,FOCUS-l2,0.9519373367034749,0.9375520866311966,0.9663225867757532,6,10000000.0,steps,steps,mean,std,True
hopper,Hopper,FOCUS-OT-l2,FOCUS-OT-l2,0.9832865934426556,0.96330961509286,1.0032635717924512,6,10000000.0,steps,steps,mean,std,True
hopper,Hopper,FOCUS-OT-cos,FOCUS-OT-cos,0.9842788982648512,0.9801885697358507,0.9883692267938516,6,10000000.0,steps,steps,mean,std,True
hopper,Hopper,ZOCUS-SAC-l2,ZOCUS-SAC-l2,0.5509706842873535,0.2476222902628924,0.8543190783118146,5,10000000.0,steps,steps,mean,std,True
hopper,Hopper,ZOCUS-SAC-OT-l2,ZOCUS-SAC-OT-l2,0.3999457670822162,0.026694766933944125,0.7731967672304882,6,10000000.0,steps,steps,mean,std,True
hopper,Hopper,ZOCUS-SAC-OT-cos,ZOCUS-SAC-OT-cos,0.8437213216866889,0.8120650832937595,0.8753775600796183,6,10000000.0,steps,steps,mean,std,True
hopper,Hopper,ZOCUS-PPO-l2,ZOCUS-PPO-l2,0.6697776401182107,0.529010433885369,0.8105448463510525,6,10000000.0,steps,steps,mean,std,True
hopper,Hopper,ZOCUS-PPO-OT-l2,ZOCUS-PPO-OT-l2,0.8510301972966058,0.7536733089912417,0.9483870856019698,5,10000000.0,steps,steps,mean,std,True
hopper,Hopper,ZOCUS-PPO-OT-cos,ZOCUS-PPO-OT-cos,0.6308087349029329,0.4052811237213054,0.8563363460845603,6,10000000.0,steps,steps,mean,std,True
ant,Ant,SAMfO/DACfO,SAMfO/DACfO,0.10382460165724701,0.09279115811923119,0.11485804519526283,3,10000000.0,steps,steps,mean,std,True
ant,Ant,OPOLO,OPOLO,0.12307915676169894,0.09238916140100749,0.15376915212239037,3,10000000.0,steps,steps,mean,std,True
ant,Ant,GAIfO,GAIfO,0.10522949480271167,0.08582310243120822,0.12463588717421512,3,10000000.0,steps,steps,mean,std,True
ant,Ant,MAAD,MAAD,0.0894088373856054,0.04615846207532674,0.13265921269588404,3,10000000.0,steps,steps,mean,std,True
ant,Ant,ILD,ILD,0.08609338321218307,0.05918407661645249,0.11300268980791366,10,10000000.0,steps,steps,mean,std,True
ant,Ant,FOCUS-l2,FOCUS-l2,0.4538755685916523,0.2468497628816595,0.6609013743016451,6,10000000.0,steps,steps,mean,std,True
ant,Ant,FOCUS-ot-l2,FOCUS-OT-l2,0.818942234973437,0.5848173617897632,1.0530671081571108,6,10000000.0,steps,steps,mean,std,True
ant,Ant,FOCUS-ot-cos,FOCUS-OT-cos,0.8445020272867533,0.7189324663906307,0.9700715881828759,6,10000000.0,steps,steps,mean,std,True
ant,Ant,ZOCUS-SAC-l2,ZOCUS-SAC-l2,0.3934270850219763,0.3202494987434712,0.46660467130048144,3,10000000.0,steps,steps,mean,std,True
ant,Ant,ZOCUS-SAC-OT-l2,ZOCUS-SAC-OT-l2,0.1908448546876753,0.13087398456246263,0.250815724812888,3,10000000.0,steps,steps,mean,std,True
ant,Ant,ZOCUS-SAC-OT-cos,ZOCUS-SAC-OT-cos,0.20466515588124334,0.17461455903317477,0.23471575272931192,5,10000000.0,steps,steps,mean,std,True
ant,Ant,ZOCUS-PPO-l2,ZOCUS-PPO-l2,0.1929600309188985,0.045466070680703324,0.3404539911570936,4,10000000.0,steps,steps,mean,std,True
ant,Ant,ZOCUS-PPO-OT-l2,ZOCUS-PPO-OT-l2,0.1291873448376605,0.08586610912775569,0.17250858054756532,3,10000000.0,steps,steps,mean,std,True
ant,Ant,ZOCUS-PPO-OT-cos,ZOCUS-PPO-OT-cos,0.10184077642112103,0.06996172986108468,0.1337198229811574,5,10000000.0,steps,steps,mean,std,True
humanoid,Humanoid,SAMfO/DACfO,SAMfO/DACfO,0.5621197965984462,0.45303993051159896,0.6711996626852935,3,15000000.0,steps,steps,mean,std,True
humanoid,Humanoid,OPOLO,OPOLO,0.47672599488029754,0.4379486290156041,0.5155033607449909,3,15000000.0,steps,steps,mean,std,True
humanoid,Humanoid,GAIfO,GAIfO,0.123749095394814,0.05444690929720429,0.19305128149242373,3,15000000.0,steps,steps,mean,std,True
humanoid,Humanoid,MAAD,MAAD,0.2473628546747059,0.21852539782647606,0.2762003115229357,3,15000000.0,steps,steps,mean,std,True
humanoid,Humanoid,ILD,ILD,0.3552576969209139,-0.05971126159023349,0.7702266554320614,10,15000000.0,steps,steps,mean,std,True
humanoid,Humanoid,FOCUS-l2,FOCUS-l2,0.5865889754858209,0.439988491955873,0.7331894590157688,6,15000000.0,steps,steps,mean,std,True
humanoid,Humanoid,FOCUS-ot-l2,FOCUS-OT-l2,0.6625995232693126,0.37735773291181623,0.9478413136268089,6,15000000.0,steps,steps,mean,std,True
humanoid,Humanoid,FOCUS-ot-cos,FOCUS-OT-cos,0.7429041960716742,0.4659507895048527,1.0198576026384958,6,15000000.0,steps,steps,mean,std,True
humanoid,Humanoid,ZOCUS-SAC-l2,ZOCUS-SAC-l2,0.21772272533427656,0.20145370976896712,0.233991740899586,5,15000000.0,steps,steps,mean,std,True
humanoid,Humanoid,ZOCUS-SAC-OT-l2,ZOCUS-SAC-OT-l2,0.21434117847012996,0.19538449391517543,0.23329786302508448,4,15000000.0,steps,steps,mean,std,True
humanoid,Humanoid,ZOCUS-SAC-OT-cos,ZOCUS-SAC-OT-cos,0.25493665749002586,0.21683248703765673,0.293040827942395,4,15000000.0,steps,steps,mean,std,True
humanoid,Humanoid,ZOCUS-PPO-l2,ZOCUS-PPO-l2,0.08490219770821339,0.035449782643392685,0.1343546127730341,3,15000000.0,steps,steps,mean,std,True
humanoid,Humanoid,ZOCUS-PPO-OT-l2,ZOCUS-PPO-OT-l2,0.05382416611644908,0.012867893216452493,0.09478043901644567,4,15000000.0,steps,steps,mean,std,True
humanoid,Humanoid,ZOCUS-PPO-OT-cos,ZOCUS-PPO-OT-cos,0.1332762517487304,0.10281235891458976,0.16374014458287103,5,15000000.0,steps,steps,mean,std,True
snu_humanoid,SNU Humanoid,SAMfO/DACfO,SAMfO/DACfO,0.055434437164365885,0.026944040350859493,0.08392483397787227,3,15000000.0,steps,steps,mean,std,True
