environment,environment_name,algorithm,algorithm_display,center,lower,upper,n_runs,final_x,final_x_unit,x_axis,center_stat,band,normalized_by_expert
hopper,Hopper,SAMfO/DACfO,SAMfO/DACfO,0.5973374477172904,0.4741198572147454,0.7545512190996734,3,1.999899331000116,hours,time,median,95ci,True
hopper,Hopper,OPOLO,OPOLO,0.7930317181424409,0.7337233176092588,0.8118088610903104,3,1.9998849417765936,hours,time,median,95ci,True
hopper,Hopper,GAIfO,GAIfO,0.7334479930279812,0.32460186624901766,0.8302968088119531,3,1.9999022065268623,hours,time,median,95ci,True
hopper,Hopper,MAAD,MAAD,0.6244061240239375,0.5728609318212418,0.8418424607685129,3,1.9997563736380555,hours,time,median,95ci,True
hopper,Hopper,ILD,ILD,0.8372367595628396,0.8051393449205589,0.8710355939017268,3,1.9998588525586658,hours,time,median,95ci,True
hopper,Hopper,FOCUS-l2,FOCUS-l2,0.956877710022066,0.9536646177919792,0.9695405785641623,6,1.999629613359769,hours,time,median,95ci,True
hopper,Hopper,FOCUS-OT-l2,FOCUS-OT-l2,0.972430366437865,0.9047892538293766,0.9932546905552151,6,1.9997452678283056,hours,time,median,95ci,True
hopper,Hopper,FOCUS-OT-cos,FOCUS-OT-cos,0.9859771610475045,0.9408968646999962,0.9888261298744309,6,1.9996564344565073,hours,time,median,95ci,True
hopper,Hopper,ZOCUS-SAC-l2,ZOCUS-SAC-l2,0.7056057116460605,0.10600385044099576,0.9169539574685736,5,1.4123504761433332,hours,time,median,95ci,True
hopper,Hopper,ZOCUS-SAC-OT-l2,ZOCUS-SAC-OT-l2,0.3012992368269795,-0.07048520503535957,0.9163319095115522,6,1.3780066572866667,hours,time,median,95ci,True
hopper,Hopper,ZOCUS-SAC-OT-cos,ZOCUS-SAC-OT-cos,0.9073057363990764,0.10678341492391254,0.9441105937476698,6,1.4914444225019443,hours,time,median,95ci,True
hopper,Hopper,ZOCUS-PPO-l2,ZOCUS-PPO-l2,0.5539997891547574,0.4886825104850799,0.6487046005762976,6,1.4930463499583333,hours,time,median,95ci,True
hopper,Hopper,ZOCUS-PPO-OT-l2,ZOCUS-PPO-OT-l2,0.7815910906342664,0.7050001437347652,0.9528233528550926,5,1.493398760471389,hours,time,median,95ci,True
