environment,environment_name,algorithm,algorithm_display,center,lower,upper,n_runs,final_x,final_x_unit,x_axis,center_stat,band,normalized_by_expert
hopper,Hopper,SAMfO/DACfO,SAMfO/DACfO,0.5973374477172904,0.47653144762467836,0.7181434478099024,3,1.999899331000116,hours,time,median,std,True
hopper,Hopper,OPOLO,OPOLO,0.7930317181424409,0.7580012041224496,0.8280622321624321,3,1.9998849417765936,hours,time,median,std,True
hopper,Hopper,GAIfO,GAIfO,0.7334479930279812,0.502757986407032,0.9641379996489305,3,1.9999022065268623,hours,time,median,std,True
hopper,Hopper,MAAD,MAAD,0.6244061240239375,0.5017061554970197,0.7471060925508552,3,1.9997563736380555,hours,time,median,std,True
hopper,Hopper,ILD,ILD,0.8372367595628396,0.8089156859908486,0.8655578331348306,3,1.9998588525586658,hours,time,median,std,True
hopper,Hopper,FOCUS-l2,FOCUS-l2,0.956877710022066,0.9511365508270914,0.9626188692170407,6,1.999629613359769,hours,time,median,std,True
hopper,Hopper,FOCUS-OT-l2,FOCUS-OT-l2,0.972430366437865,0.9401278051102294,1.0047329277655004,6,1.9997452678283056,hours,time,median,std,True
hopper,Hopper,FOCUS-OT-cos,FOCUS-OT-cos,0.9859771610475045,0.9665963581748014,1.0053579639202077,6,1.9996564344565073,hours,time,median,std,True
hopper,Hopper,ZOCUS-SAC-l2,ZOCUS-SAC-l2,0.22524190523892887,-0.1550096362762914,0.6054934467541492,6,1.1583267361480554,hours,time,median,std,True
hopper,Hopper,ZOCUS-SAC-OT-l2,ZOCUS-SAC-OT-l2,0.3012992368269795,-0.08451530617982234,0.6871137798337814,6,1.3780066572866667,hours,time,median,std,True
hopper,Hopper,ZOCUS-SAC-OT-cos,ZOCUS-SAC-OT-cos,0.9073057363990764,0.5637407535184924,1.2508707192796604,6,1.4914444225019443,hours,time,median,std,True
hopper,Hopper,ZOCUS-PPO-l2,ZOCUS-PPO-l2,0.5539997891547574,0.49852722725448284,0.6094723510550321,6,1.4930463499583333,hours,time,median,std,True
hopper,Hopper,ZOCUS-PPO-OT-l2,ZOCUS-PPO-OT-l2,0.7815910906342664,0.681761473406855,0.8814207078616777,5,1.493398760471389,hours,time,median,std,True
hopper,Hopper,ZOCUS-PPO-OT-cos,ZOCUS-PPO-OT-cos,0.6319179707313051,0.43351723942463594,0.8303187020379742,6,1.4936955769752778,hours,time,median,std,True
ant,Ant,SAMfO/DACfO,SAMfO/DACfO,0.12833078705297854,0.032806461862736,0.22385511224322108,3,2.9999330972300635,hours,time,median,std,True
ant,Ant,OPOLO,OPOLO,0.23049687235356234,0.09772498829036144,0.36326875641676326,3,2.999799679319064,hours,time,median,std,True
ant,Ant,GAIfO,GAIfO,0.07395201518532224,-0.12696919974063403,0.2748732301112785,3,2.9998729944229128,hours,time,median,std,True
ant,Ant,MAAD,MAAD,0.06917404849624853,0.0029241160859319743,0.1354239809065651,3,2.999771651112778,hours,time,median,std,True
ant,Ant,ILD,ILD,1.0014767383910468,0.9979792467439583,1.0049742300381352,10,2.991275293257222,hours,time,median,std,True
ant,Ant,FOCUS-l2,FOCUS-l2,0.557600258067197,0.3473495135162697,0.7678510026181244,6,2.999816594133611,hours,time,median,std,True
ant,Ant,FOCUS-ot-l2,FOCUS-OT-l2,0.9936607139919795,0.7603897170421691,1.22693171094179,6,2.999428238634722,hours,time,median,std,True
ant,Ant,FOCUS-ot-cos,FOCUS-OT-cos,0.9185605599513971,0.7886059272397292,1.048515192663065,6,2.9996161221344444,hours,time,median,std,True
ant,Ant,ZOCUS-SAC-l2,ZOCUS-SAC-l2,0.5405487263460602,0.49174122288295163,0.5893562298091688,6,1.928221318997778,hours,time,median,std,True
ant,Ant,ZOCUS-SAC-OT-l2,ZOCUS-SAC-OT-l2,0.15089355114939196,0.10939549290197925,0.19239160939680466,6,1.9256631259991668,hours,time,median,std,True
ant,Ant,ZOCUS-SAC-OT-cos,ZOCUS-SAC-OT-cos,0.5038773861738839,0.34887549090541725,0.6588792814423505,6,1.9306488889158335,hours,time,median,std,True
ant,Ant,ZOCUS-PPO-l2,ZOCUS-PPO-l2,0.26066547818397734,0.1445059479757651,0.3768250083921896,6,1.9965435332475,hours,time,median,std,True
ant,Ant,ZOCUS-PPO-OT-l2,ZOCUS-PPO-OT-l2,0.1504705876562709,0.08945179716402515,0.21148937814851662,6,1.920060029644722,hours,time,median,std,True
ant,Ant,ZOCUS-PPO-OT-cos,ZOCUS-PPO-OT-cos,0.10987525267966648,0.011756653353309332,0.20799385200602363,6,1.9153547854494446,hours,time,median,std,True
humanoid,Humanoid,SAMfO/DACfO,SAMfO/DACfO,0.23632349974732308,0.11189764312922006,0.3607493563654261,3,5.999822238551245,hours,time,median,std,True
humanoid,Humanoid,OPOLO,OPOLO,0.19824008618146446,0.09380331572300259,0.30267685663992633,3,5.9998238722483315,hours,time,median,std,True
humanoid,Humanoid,GAIfO,GAIfO,0.12202769187241393,0.09708898305887076,0.1469664006859571,3,5.999666770299275,hours,time,median,std,True
humanoid,Humanoid,MAAD,MAAD,0.15011174299913102,0.10496489174037897,0.19525859425788306,3,5.999444212699722,hours,time,median,std,True
humanoid,Humanoid,ILD,ILD,0.016984064587109167,-0.4230321230188829,0.4570002521931012,10,5.999110885786112,hours,time,median,std,True
humanoid,Humanoid,FOCUS-l2,FOCUS-l2,0.6266702665441635,0.4392289315672022,0.8141116015211247,6,5.999015976604722,hours,time,median,std,True
humanoid,Humanoid,FOCUS-ot-l2,FOCUS-OT-l2,0.7803725524852974,0.5039126709243875,1.0568324340462072,6,5.9992651903675,hours,time,median,std,True
humanoid,Humanoid,FOCUS-ot-cos,FOCUS-OT-cos,0.800390790611285,0.5891144218349356,1.0116671593876345,6,5.999257044557223,hours,time,median,std,True
humanoid,Humanoid,ZOCUS-SAC-l2,ZOCUS-SAC-l2,0.2439286940141887,0.2179509589966718,0.2699064290317056,6,1.9275618116438888,hours,time,median,std,True
humanoid,Humanoid,ZOCUS-SAC-OT-l2,ZOCUS-SAC-OT-l2,0.23486518215471752,0.18392852676244342,0.2858018375469916,6,1.9262932400475,hours,time,median,std,True
humanoid,Humanoid,ZOCUS-SAC-OT-cos,ZOCUS-SAC-OT-cos,0.2373938845473513,0.19325335678161776,0.28153441231308485,6,1.9206186975111108,hours,time,median,std,True
humanoid,Humanoid,ZOCUS-PPO-l2,ZOCUS-PPO-l2,0.08711615350339066,0.04594994946159888,0.12828235754518244,6,1.8907190054786114,hours,time,median,std,True
humanoid,Humanoid,ZOCUS-PPO-OT-l2,ZOCUS-PPO-OT-l2,0.029284013645925755,0.003952002667357499,0.05461602462449401,6,1.9917843038919445,hours,time,median,std,True
humanoid,Humanoid,ZOCUS-PPO-OT-cos,ZOCUS-PPO-OT-cos,0.10900588980967985,0.071978330366196,0.1460334492531637,6,0.8426655139355557,hours,time,median,std,True
snu_humanoid,SNU Humanoid,SAMfO/DACfO,SAMfO/DACfO,0.035900374783846487,0.002110950155311743,0.06968979941238124,3,5.999800045159128,hours,time,median,std,True
snu_humanoid,SNU Humanoid,OPOLO,OPOLO,0.0017822854953229478,-0.012907276144717829,0.016471847135363725,3,5.999610772397783,hours,time,median,std,True
snu_humanoid,SNU Humanoid,GAIfO,GAIfO,0.02585109760952378,0.012902950593123045,0.03879924462592451,3,5.999706250031789,hours,time,median,std,True
snu_humanoid,SNU Humanoid,MAAD,MAAD,0.031050708220406214,-0.012702643703881463,0.07480406014469389,3,5.999564016698889,hours,time,median,std,True
snu_humanoid,SNU Humanoid,ILD,ILD,0.4827506024430973,0.11410395578905552,0.8513972490971391,4,5.999225061283888,hours,time,median,std,True
snu_humanoid,SNU Humanoid,FOCUS-l2,FOCUS-l2,0.5744951410877613,0.3499335643873011,0.7990567177882215,6,5.99936990328,hours,time,median,std,True
snu_humanoid,SNU Humanoid,FOCUS-ot-l2,FOCUS-OT-l2,0.9411504998745419,0.9343849620416651,0.9479160377074187,6,5.9989572934075,hours,time,median,std,True
snu_humanoid,SNU Humanoid,FOCUS-ot-cos,FOCUS-OT-cos,0.9172139488626618,0.8973698010774132,0.9370580966479105,6,5.998947549894445,hours,time,median,std,True
snu_humanoid,SNU Humanoid,ZOCUS-SAC-l2,ZOCUS-SAC-l2,0.08180327493582404,0.07178065990487305,0.09182588996677503,6,1.9266617365086112,hours,time,median,std,True
snu_humanoid,SNU Humanoid,ZOCUS-SAC-OT-l2,ZOCUS-SAC-OT-l2,0.10920559633928345,0.07920800210228196,0.13920319057628494,6,1.9167820324691667,hours,time,median,std,True
snu_humanoid,SNU Humanoid,ZOCUS-SAC-OT-cos,ZOCUS-SAC-OT-cos,0.10405438924954549,0.062496923055101475,0.14561185544398952,6,2.3606741844966668,hours,time,median,std,True
snu_humanoid,SNU Humanoid,ZOCUS-PPO-l2,ZOCUS-PPO-l2,0.024938256864146045,0.0022357857105907396,0.04764072801770135,6,0.8467372382630556,hours,time,median,std,True
snu_humanoid,SNU Humanoid,ZOCUS-PPO-OT-l2,ZOCUS-PPO-OT-l2,0.008394441484365774,0.00409901263867049,0.012689870330061057,4,0.863454697801389,hours,time,median,std,True
snu_humanoid,SNU Humanoid,ZOCUS-PPO-OT-cos,ZOCUS-PPO-OT-cos,0.04978269040409747,0.04212672420616856,0.05743865660202638,5,0.955489745845,hours,time,median,std,True
