env,env_name,algo,variant,group,run_id,imitation_loss_type,loss_ot_cost_type,horizon_len,demos,ep_rew
hopper,Hopper,ILD,SAPO,fix-ceiling-april-tennessee-october.ILD.DFlex_hopper_64,fix-ceiling-april-tennessee-october-EFCp.ILD.DFlex_hopper_64.seed1000,,,32,1,4829.29708984375
hopper,Hopper,ILD,SAPO,fix-ceiling-april-tennessee-october.ILD.DFlex_hopper_64,fix-ceiling-april-tennessee-october-fEr0.ILD.DFlex_hopper_64.seed1100,,,32,1,4824.511225585938
hopper,Hopper,ILD,SAPO,fix-ceiling-april-tennessee-october.ILD.DFlex_hopper_64,fix-ceiling-april-tennessee-october-JOhd.ILD.DFlex_hopper_64.seed1200,,,32,1,4823.054760742188
hopper,Hopper,ILD,SAPO,fix-ceiling-april-tennessee-october.ILD.DFlex_hopper_64,fix-ceiling-april-tennessee-october-luY4.ILD.DFlex_hopper_64.seed110,,,32,1,4837.4388427734375
hopper,Hopper,ILD,SAPO,fix-ceiling-april-tennessee-october.ILD.DFlex_hopper_64,fix-ceiling-april-tennessee-october-MmLt.ILD.DFlex_hopper_64.seed120,,,32,1,4822.3614111328125
hopper,Hopper,ILD,SAPO,fix-ceiling-april-tennessee-october.ILD.DFlex_hopper_64,fix-ceiling-april-tennessee-october-pv0X.ILD.DFlex_hopper_64.seed100,,,32,1,4701.579517822265
hopper,Hopper,ILD,SAPO,fix-ceiling-april-tennessee-october.ILD.DFlex_hopper_64,fix-ceiling-april-tennessee-october-1vlM.ILD.DFlex_hopper_64.seed140,,,32,1,4829.42173828125
hopper,Hopper,ILD,SAPO,fix-ceiling-april-tennessee-october.ILD.DFlex_hopper_64,fix-ceiling-april-tennessee-october-32Jc.ILD.DFlex_hopper_64.seed1300,,,32,1,4824.38412109375
hopper,Hopper,ILD,SAPO,fix-ceiling-april-tennessee-october.ILD.DFlex_hopper_64,fix-ceiling-april-tennessee-october-MHzE.ILD.DFlex_hopper_64.seed130,,,32,1,4747.597194824219
hopper,Hopper,ILD,SAPO,fix-ceiling-april-tennessee-october.ILD.DFlex_hopper_64,fix-ceiling-april-tennessee-october-Zi7M.ILD.DFlex_hopper_64.seed1400,,,32,1,4838.383051757813
hopper,Hopper,ILD,SAPO,illinois-uniform-montana-maine-mountain.ILD.DFlex_hopper_64,illinois-uniform-montana-maine-mountain-Gb8I.ILD.DFlex_hopper_64.seed1000,,,32,4,4825.45271484375
hopper,Hopper,ILD,SAPO,illinois-uniform-montana-maine-mountain.ILD.DFlex_hopper_64,illinois-uniform-montana-maine-mountain-hLMi.ILD.DFlex_hopper_64.seed1100,,,32,4,4816.014833984375
hopper,Hopper,ILD,SAPO,illinois-uniform-montana-maine-mountain.ILD.DFlex_hopper_64,illinois-uniform-montana-maine-mountain-kBJQ.ILD.DFlex_hopper_64.seed1200,,,32,4,4817.827075195312
